Size,Type,Bitonic_ms,StdSort_ms,BubbleOMP_ms
1024,Random,0.376947,0.0309763,1.80074
1024,Sorted,0.0347283,0.0041146,0.0031093
1024,Reverse,0.0353961,0.0034602,1.5469
1024,Duplicate,0.0397124,0.0097544,2.16525
4096,Random,0.337877,0.15827,7.07448
4096,Sorted,0.129462,0.018353,0.0032824
4096,Reverse,0.439086,0.0163235,6.1423
4096,Duplicate,0.156941,0.05755,10.7448
16384,Random,0.815284,0.741138,47.3298
16384,Sorted,0.321343,0.0802561,0.0049945
16384,Reverse,0.330459,0.0668843,35.6639
16384,Duplicate,0.356724,0.209738,33.3138
65536,Random,1.64272,3.30878,-1
65536,Sorted,0.643577,0.367871,-1
65536,Reverse,0.676161,0.29463,-1
65536,Duplicate,0.90292,0.790724,-1
262144,Random,5.95008,14.63,-1
262144,Sorted,2.21946,1.57059,-1
262144,Reverse,2.36372,1.35667,-1
262144,Duplicate,2.57321,3.1978,-1
1048576,Random,34.2645,59.7905,-1
1048576,Sorted,11.6127,6.99706,-1
1048576,Reverse,10.6196,5.61909,-1
1048576,Duplicate,10.8193,12.8675,-1
4194304,Random,80.8022,247.082,-1
4194304,Sorted,40.2099,27.8947,-1
4194304,Reverse,42.4702,22.4845,-1
4194304,Duplicate,40.8211,47.4064,-1
16777216,Random,489.099,972.626,-1
16777216,Sorted,318.116,112.149,-1
16777216,Reverse,321.32,91.2797,-1
16777216,Duplicate,280.133,196.164,-1
67108864,Random,2393.98,3856.31,-1
67108864,Sorted,1715.94,481.123,-1
67108864,Reverse,1702.1,375.166,-1
67108864,Duplicate,1451.35,815.964,-1
